      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   3
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 06-MAR-2018 14:40:37
Last written by FRING on 06-MAR-2018 14:48:31
Ncol 26  Nrow 176    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     134  04:44:07.4  00:01:04.0      2          2         1        1       0.000      0       0.000    0.000    0.000   0.6174
     135  04:44:07.4  00:01:04.0      2          3         1        1       0.000      0       0.000    0.000    0.000  -0.4630
     136  04:44:07.4  00:01:04.0      2          4         1        1       0.000      0       0.000    0.000    0.000  -0.6396
     137  04:44:07.4  00:01:04.0      2          5         1        1       0.000      0       0.000    0.000    0.000  -0.8759
     138  04:44:07.4  00:01:04.0      2          6         1        1       0.000      0       0.000    0.000    0.000   0.9994
     139  04:44:07.4  00:01:04.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.9758
     140  04:44:07.4  00:01:04.0      2          8         1        1       0.000      0       0.000    0.000    0.000   0.1693
     141  04:44:07.4  00:01:04.0      2          9         1        1       0.000      0       0.000    0.000    0.000  -0.9530
     142  04:44:07.4  00:01:04.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.9980
     143  04:44:07.4  00:01:04.0      2         11         1        1       0.000      0       0.000    0.000    0.000  -0.0088
     144  04:44:07.4  00:01:04.0      2         12         1        1       0.000      0       0.000    0.000    0.000   0.9654
     145  04:44:07.4  00:01:04.0      2         14         1        1       0.000      0       0.000    0.000    0.000   0.1846
     146  04:44:07.4  00:01:04.0      2         18         1        1       0.000      0       0.000    0.000    0.000  -0.0160
     147  04:44:07.4  00:01:04.0      2         19         1        1       0.000      0       0.000    0.000    0.000   0.3949
      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    4
